experiment,step,metric,value
DC-PPO (50M+50M),16051200,reward,76427.8203125
DC-PPO (50M+50M),16102400,reward,76110.4296875
DC-PPO (50M+50M),16153600,reward,76075.6171875
DC-PPO (50M+50M),16204800,reward,75462.4140625
DC-PPO (50M+50M),16256000,reward,76737.03125
DC-PPO (50M+50M),16307200,reward,78038.71875
DC-PPO (50M+50M),16358400,reward,77206.796875
DC-PPO (50M+50M),16409600,reward,77007.59375
DC-PPO (50M+50M),16460800,reward,76864.34375
DC-PPO (50M+50M),16512000,reward,78344.3046875
DC-PPO (50M+50M),16563200,reward,76807.8359375
DC-PPO (50M+50M),16614400,reward,76294.0078125
DC-PPO (50M+50M),16665600,reward,76776.3046875
DC-PPO (50M+50M),16716800,reward,75447.0703125
DC-PPO (50M+50M),16768000,reward,76840.734375
DC-PPO (50M+50M),16819200,reward,76906.8515625
DC-PPO (50M+50M),16870400,reward,78703.0390625
DC-PPO (50M+50M),16921600,reward,78445.921875
DC-PPO (50M+50M),16972800,reward,77923.5546875
DC-PPO (50M+50M),17024000,reward,77905.578125
DC-PPO (50M+50M),17075200,reward,77899.9140625
DC-PPO (50M+50M),17126400,reward,78616.8046875
DC-PPO (50M+50M),17177600,reward,78004.4140625
DC-PPO (50M+50M),17228800,reward,78282.765625
DC-PPO (50M+50M),17280000,reward,79074.8203125
DC-PPO (50M+50M),17331200,reward,78698.140625
DC-PPO (50M+50M),17382400,reward,78736.2578125
DC-PPO (50M+50M),17433600,reward,79481.1640625
DC-PPO (50M+50M),17484800,reward,78194.046875
DC-PPO (50M+50M),17536000,reward,77729.1015625
DC-PPO (50M+50M),17587200,reward,78825.7578125
DC-PPO (50M+50M),17638400,reward,79391.75
DC-PPO (50M+50M),17689600,reward,78529.6953125
DC-PPO (50M+50M),17740800,reward,78629.6484375
DC-PPO (50M+50M),17792000,reward,78342.828125
DC-PPO (50M+50M),17843200,reward,77793.765625
DC-PPO (50M+50M),17894400,reward,77756.4921875
DC-PPO (50M+50M),17945600,reward,78084.890625
DC-PPO (50M+50M),17996800,reward,77595.625
DC-PPO (50M+50M),18048000,reward,77563.765625
DC-PPO (50M+50M),18099200,reward,76596.9921875
DC-PPO (50M+50M),18150400,reward,77098.1640625
DC-PPO (50M+50M),18201600,reward,76505.390625
DC-PPO (50M+50M),18252800,reward,77908.0078125
DC-PPO (50M+50M),18304000,reward,77465.515625
DC-PPO (50M+50M),18355200,reward,77040.8125
DC-PPO (50M+50M),18406400,reward,78210.0
DC-PPO (50M+50M),18457600,reward,78169.3671875
DC-PPO (50M+50M),18508800,reward,77943.5859375
DC-PPO (50M+50M),18560000,reward,78322.1953125
DC-PPO (50M+50M),18611200,reward,78805.296875
DC-PPO (50M+50M),18662400,reward,78411.90625
DC-PPO (50M+50M),18713600,reward,78208.0703125
DC-PPO (50M+50M),18764800,reward,78735.8984375
DC-PPO (50M+50M),18816000,reward,79723.0703125
DC-PPO (50M+50M),18867200,reward,79240.1484375
DC-PPO (50M+50M),18918400,reward,79556.1875
DC-PPO (50M+50M),18969600,reward,77919.171875
DC-PPO (50M+50M),19020800,reward,78387.703125
DC-PPO (50M+50M),19072000,reward,78257.0234375
DC-PPO (50M+50M),19123200,reward,77684.4609375
DC-PPO (50M+50M),19174400,reward,78509.3359375
DC-PPO (50M+50M),19225600,reward,78096.6015625
DC-PPO (50M+50M),19276800,reward,78612.8671875
DC-PPO (50M+50M),19328000,reward,78886.5078125
DC-PPO (50M+50M),19379200,reward,78560.90625
DC-PPO (50M+50M),19430400,reward,79034.875
DC-PPO (50M+50M),19481600,reward,78271.15625
DC-PPO (50M+50M),19532800,reward,78993.765625
DC-PPO (50M+50M),19584000,reward,78155.3203125
DC-PPO (50M+50M),19635200,reward,78447.0
DC-PPO (50M+50M),19686400,reward,78621.7109375
DC-PPO (50M+50M),19737600,reward,78884.9140625
DC-PPO (50M+50M),19788800,reward,78687.3359375
DC-PPO (50M+50M),19840000,reward,78884.5078125
DC-PPO (50M+50M),19891200,reward,78806.96875
DC-PPO (50M+50M),19942400,reward,79138.9609375
DC-PPO (50M+50M),19993600,reward,78993.3984375
DC-PPO (50M+50M),20044800,reward,78604.859375
DC-PPO (50M+50M),20096000,reward,79078.171875
DC-PPO (50M+50M),20147200,reward,79642.09375
DC-PPO (50M+50M),20198400,reward,78293.390625
DC-PPO (50M+50M),20249600,reward,78968.8359375
DC-PPO (50M+50M),20300800,reward,79183.4765625
DC-PPO (50M+50M),20352000,reward,79010.359375
DC-PPO (50M+50M),20403200,reward,79488.71875
DC-PPO (50M+50M),20454400,reward,79569.4921875
DC-PPO (50M+50M),20505600,reward,79740.2265625
DC-PPO (50M+50M),20556800,reward,80132.9140625
DC-PPO (50M+50M),20608000,reward,80277.3359375
DC-PPO (50M+50M),20659200,reward,79781.03125
DC-PPO (50M+50M),20710400,reward,80805.421875
DC-PPO (50M+50M),20761600,reward,79323.6796875
DC-PPO (50M+50M),20812800,reward,79798.1171875
DC-PPO (50M+50M),20864000,reward,80398.9609375
DC-PPO (50M+50M),20915200,reward,79609.4765625
DC-PPO (50M+50M),20966400,reward,79109.3046875
DC-PPO (50M+50M),21017600,reward,79087.8984375
DC-PPO (50M+50M),21068800,reward,80120.1015625
DC-PPO (50M+50M),21120000,reward,80347.2734375
DC-PPO (50M+50M),21171200,reward,79444.421875
DC-PPO (50M+50M),21222400,reward,79892.0703125
DC-PPO (50M+50M),21273600,reward,79663.703125
DC-PPO (50M+50M),21324800,reward,79761.6484375
DC-PPO (50M+50M),21376000,reward,78702.609375
DC-PPO (50M+50M),21427200,reward,78762.1640625
DC-PPO (50M+50M),21478400,reward,79226.75
DC-PPO (50M+50M),21529600,reward,79907.703125
DC-PPO (50M+50M),21580800,reward,79612.828125
DC-PPO (50M+50M),21632000,reward,80114.2109375
DC-PPO (50M+50M),21683200,reward,80022.53125
DC-PPO (50M+50M),21734400,reward,79981.6171875
DC-PPO (50M+50M),21785600,reward,80531.1171875
DC-PPO (50M+50M),21836800,reward,80652.609375
DC-PPO (50M+50M),21888000,reward,81214.2890625
DC-PPO (50M+50M),21939200,reward,80287.4375
DC-PPO (50M+50M),21990400,reward,79328.765625
DC-PPO (50M+50M),22041600,reward,80348.3671875
DC-PPO (50M+50M),22092800,reward,80451.9921875
DC-PPO (50M+50M),22144000,reward,80237.609375
DC-PPO (50M+50M),22195200,reward,79378.5078125
DC-PPO (50M+50M),22246400,reward,79621.15625
DC-PPO (50M+50M),22297600,reward,79741.9921875
DC-PPO (50M+50M),22348800,reward,80067.859375
DC-PPO (50M+50M),22400000,reward,79638.75
DC-PPO (50M+50M),22451200,reward,79126.734375
DC-PPO (50M+50M),22502400,reward,79362.6953125
