series,segment,cumulative_steps,learning_episode,raw_or_mean,three_point_smoothed
"MAPPO (fixed 60, 3 seeds)",historical,9702400.0,379.0,456347.5118634259,456347.5118634259
"MAPPO (fixed 60, 3 seeds)",historical,9753600.0,381.0,456443.43836805556,456443.43836805556
"MAPPO (fixed 60, 3 seeds)",historical,9804800.0,383.0,456788.64988425927,456788.64988425927
"MAPPO (fixed 60, 3 seeds)",historical,9856000.0,385.0,457228.8243634259,457228.8243634259
"MAPPO (fixed 60, 3 seeds)",historical,9907200.0,387.0,457917.4296875,457917.4296875
"MAPPO (fixed 60, 3 seeds)",historical,9958400.0,389.0,459428.44762731483,459428.44762731483
"MAPPO (fixed 60, 3 seeds)",historical,10009600.0,391.0,460328.7364004629,460328.7364004629
"MAPPO (fixed 60, 3 seeds)",historical,10060800.0,393.0,460509.43518518517,460509.43518518517
"MAPPO (fixed 60, 3 seeds)",historical,10112000.0,395.0,459402.33506944444,459402.33506944444
"MAPPO (fixed 60, 3 seeds)",historical,10163200.0,397.0,458979.05381944444,458979.05381944444
"MAPPO (fixed 60, 3 seeds)",historical,10214400.0,399.0,458867.1817129629,458867.1817129629
"MAPPO (fixed 60, 3 seeds)",historical,10265600.0,401.0,459507.8434606481,459507.8434606481
"MAPPO (fixed 60, 3 seeds)",historical,10316800.0,403.0,460278.21093749994,460278.21093749994
"MAPPO (fixed 60, 3 seeds)",historical,10368000.0,405.0,461069.7239583333,461069.7239583333
"MAPPO (fixed 60, 3 seeds)",historical,10419200.0,407.0,461853.90625,461853.90625
"MAPPO (fixed 60, 3 seeds)",historical,10470400.0,409.0,461803.23987268517,461803.23987268517
"MAPPO (fixed 60, 3 seeds)",historical,10521600.0,411.0,462388.5613425926,462388.5613425926
"MAPPO (fixed 60, 3 seeds)",historical,10572800.0,413.0,463151.13223379635,463151.13223379635
"MAPPO (fixed 60, 3 seeds)",historical,10624000.0,415.0,464515.2071759259,464515.2071759259
"MAPPO (fixed 60, 3 seeds)",historical,10675200.0,417.0,465073.03761574073,465073.03761574073
"MAPPO (fixed 60, 3 seeds)",historical,10726400.0,419.0,465176.64756944444,465176.64756944444
"MAPPO (fixed 60, 3 seeds)",historical,10777600.0,421.0,465365.88599537034,465365.88599537034
"MAPPO (fixed 60, 3 seeds)",historical,10828800.0,423.0,465187.005787037,465187.005787037
"MAPPO (fixed 60, 3 seeds)",historical,10880000.0,425.0,465543.3790509259,465543.3790509259
"MAPPO (fixed 60, 3 seeds)",historical,10931200.0,427.0,465780.7473958333,465780.7473958333
"MAPPO (fixed 60, 3 seeds)",historical,10982400.0,429.0,467497.2685185185,467497.2685185185
"MAPPO (fixed 60, 3 seeds)",historical,11033600.0,431.0,468226.92042824073,468226.92042824073
"MAPPO (fixed 60, 3 seeds)",historical,11084800.0,433.0,468529.4777199074,468529.4777199074
"MAPPO (fixed 60, 3 seeds)",historical,11136000.0,435.0,467428.60792824073,467428.60792824073
"MAPPO (fixed 60, 3 seeds)",historical,11187200.0,437.0,467468.29600694444,467468.29600694444
"MAPPO (fixed 60, 3 seeds)",historical,11238400.0,439.0,467584.4910300926,467584.4910300926
"MAPPO (fixed 60, 3 seeds)",historical,11289600.0,441.0,468487.62326388893,468487.62326388893
"MAPPO (fixed 60, 3 seeds)",historical,11340800.0,443.0,469096.3671875,469096.3671875
"MAPPO (fixed 60, 3 seeds)",historical,11392000.0,445.0,470421.6924189815,470421.6924189815
"MAPPO (fixed 60, 3 seeds)",historical,11443200.0,447.0,471533.7068865741,471533.7068865741
"MAPPO (fixed 60, 3 seeds)",historical,11494400.0,449.0,471667.2537615741,471667.2537615741
"MAPPO (fixed 60, 3 seeds)",historical,11545600.0,451.0,471170.39814814815,471170.39814814815
"MAPPO (fixed 60, 3 seeds)",historical,11596800.0,453.0,470129.18113425927,470129.18113425927
"MAPPO (fixed 60, 3 seeds)",historical,11648000.0,455.0,470312.43923611107,470312.43923611107
"MAPPO (fixed 60, 3 seeds)",historical,11699200.0,457.0,470561.3388310185,470561.3388310185
"MAPPO (fixed 60, 3 seeds)",historical,11750400.0,459.0,472002.8776041667,472002.8776041667
"MAPPO (fixed 60, 3 seeds)",historical,11801600.0,461.0,472942.8023726852,472942.8023726852
"MAPPO (fixed 60, 3 seeds)",historical,11852800.0,463.0,473603.77285879635,473603.77285879635
"MAPPO (fixed 60, 3 seeds)",historical,11904000.0,465.0,473025.85619212966,473025.85619212966
"MAPPO (fixed 60, 3 seeds)",historical,11955200.0,467.0,472493.23495370365,472493.23495370365
"MAPPO (fixed 60, 3 seeds)",historical,12006400.0,469.0,472638.7795138888,472638.7795138888
"MAPPO (fixed 60, 3 seeds)",historical,12057600.0,471.0,472979.76736111107,472979.76736111107
"MAPPO (fixed 60, 3 seeds)",historical,12108800.0,473.0,473721.92997685185,473721.92997685185
"MAPPO (fixed 60, 3 seeds)",historical,12160000.0,475.0,473955.94097222225,473955.94097222225
"MAPPO (fixed 60, 3 seeds)",historical,12211200.0,477.0,474870.8700810185,474870.8700810185
"MAPPO (fixed 60, 3 seeds)",historical,12262400.0,479.0,474632.22222222225,474632.22222222225
"MAPPO (fixed 60, 3 seeds)",historical,12313600.0,481.0,474548.2861689815,474548.2861689815
"MAPPO (fixed 60, 3 seeds)",historical,12364800.0,483.0,474196.02401620377,474196.02401620377
"MAPPO (fixed 60, 3 seeds)",historical,12416000.0,485.0,474983.60011574073,474983.60011574073
"MAPPO (fixed 60, 3 seeds)",historical,12467200.0,487.0,475811.86168981483,475811.86168981483
"MAPPO (fixed 60, 3 seeds)",historical,12518400.0,489.0,476244.7146990741,476244.7146990741
"MAPPO (fixed 60, 3 seeds)",historical,12569600.0,491.0,476318.7763310186,476318.7763310186
"MAPPO (fixed 60, 3 seeds)",historical,12620800.0,493.0,476617.6574074074,476617.6574074074
"MAPPO (fixed 60, 3 seeds)",historical,12672000.0,495.0,477776.04716435185,477776.04716435185
"MAPPO (fixed 60, 3 seeds)",historical,12723200.0,497.0,478911.93142361107,478911.93142361107
"MAPPO (fixed 60, 3 seeds)",historical,12774400.0,499.0,479927.2850115741,479927.2850115741
"MAPPO (fixed 60, 3 seeds)",historical,12825600.0,501.0,480570.1545138888,480570.1545138888
"MAPPO (fixed 60, 3 seeds)",historical,12876800.0,503.0,481303.0419560185,481303.0419560185
"MAPPO (fixed 60, 3 seeds)",historical,12928000.0,505.0,481529.32204861107,481529.32204861107
"MAPPO (fixed 60, 3 seeds)",historical,12979200.0,507.0,480898.8631365741,480898.8631365741
"MAPPO (fixed 60, 3 seeds)",historical,13030400.0,509.0,479763.03790509264,479763.03790509264
"MAPPO (fixed 60, 3 seeds)",historical,13081600.0,511.0,479155.6846064815,479155.6846064815
"MAPPO (fixed 60, 3 seeds)",historical,13132800.0,513.0,478998.8478009259,478998.8478009259
"MAPPO (fixed 60, 3 seeds)",historical,13184000.0,515.0,479381.6684027778,479381.6684027778
"MAPPO (fixed 60, 3 seeds)",historical,13235200.0,517.0,479305.33043981483,479305.33043981483
"MAPPO (fixed 60, 3 seeds)",historical,13286400.0,519.0,479771.71151620377,479771.71151620377
"MAPPO (fixed 60, 3 seeds)",historical,13337600.0,521.0,479862.70196759264,479862.70196759264
"MAPPO (fixed 60, 3 seeds)",historical,13388800.0,523.0,480350.12586805556,480350.12586805556
"MAPPO (fixed 60, 3 seeds)",historical,13440000.0,525.0,480525.5043402778,480525.5043402778
"MAPPO (fixed 60, 3 seeds)",historical,13491200.0,527.0,481164.85011574073,481164.85011574073
"MAPPO (fixed 60, 3 seeds)",historical,13542400.0,529.0,482023.396412037,482023.396412037
"MAPPO (fixed 60, 3 seeds)",historical,13593600.0,531.0,482821.0040509259,482821.0040509259
"MAPPO (fixed 60, 3 seeds)",historical,13644800.0,533.0,483506.06394675927,483506.06394675927
"MAPPO (fixed 60, 3 seeds)",historical,13696000.0,535.0,483501.71035879635,483501.71035879635
"MAPPO (fixed 60, 3 seeds)",historical,13747200.0,537.0,483648.83940972225,483648.83940972225
"MAPPO (fixed 60, 3 seeds)",historical,13798400.0,539.0,483916.81799768517,483916.81799768517
"MAPPO (fixed 60, 3 seeds)",historical,13849600.0,541.0,484590.021412037,484590.021412037
"MAPPO (fixed 60, 3 seeds)",historical,13900800.0,543.0,485269.42910879623,485269.42910879623
"MAPPO (fixed 60, 3 seeds)",historical,13952000.0,545.0,485365.56105324073,485365.56105324073
"MAPPO (fixed 60, 3 seeds)",historical,14003200.0,547.0,485406.83912037034,485406.83912037034
"MAPPO (fixed 60, 3 seeds)",historical,14054400.0,549.0,485237.27112268517,485237.27112268517
"MAPPO (fixed 60, 3 seeds)",historical,14105600.0,551.0,485360.4030671296,485360.4030671296
