series,local_learning_episode,raw_value,three_point_smoothed_value
MAPPO continuation (local x),853.0,499732.71875,499509.8229166667
MAPPO continuation (local x),855.0,499708.21875,499634.4895833333
MAPPO continuation (local x),857.0,499462.53125,499853.2291666667
MAPPO continuation (local x),859.0,500388.9375,500420.0104166667
MAPPO continuation (local x),861.0,501408.5625,500803.6666666667
MAPPO continuation (local x),863.0,500613.5,500721.6666666667
MAPPO continuation (local x),865.0,500142.9375,500389.3541666667
MAPPO continuation (local x),867.0,500411.625,499996.1354166667
MAPPO continuation (local x),869.0,499433.84375,499841.0625
MAPPO continuation (local x),871.0,499677.71875,499187.2083333333
MAPPO continuation (local x),873.0,498450.0625,499199.4895833333
MAPPO continuation (local x),875.0,499470.6875,499445.4583333333
MAPPO continuation (local x),877.0,500415.625,500035.6770833333
MAPPO continuation (local x),879.0,500220.71875,500380.4166666667
MAPPO continuation (local x),881.0,500504.90625,500035.84375
MAPPO continuation (local x),883.0,499381.90625,500041.9791666667
MAPPO continuation (local x),885.0,500239.125,500257.5729166667
MAPPO continuation (local x),887.0,501151.6875,501212.9583333333
MAPPO continuation (local x),889.0,502248.0625,502087.6979166667
MAPPO continuation (local x),891.0,502863.34375,502653.8229166667
MAPPO continuation (local x),893.0,502850.0625,502638.6354166667
MAPPO continuation (local x),895.0,502202.5,503096.53125
MAPPO continuation (local x),897.0,504237.03125,502970.25
MAPPO continuation (local x),899.0,502471.21875,502931.4375
MAPPO continuation (local x),901.0,502086.0625,502609.75
MAPPO continuation (local x),903.0,503271.96875,502353.7291666667
MAPPO continuation (local x),905.0,501703.15625,502621.5104166667
MAPPO continuation (local x),907.0,502889.40625,502237.9270833333
MAPPO continuation (local x),909.0,502121.21875,502000.8125
MAPPO continuation (local x),911.0,500991.8125,501962.15625
MAPPO continuation (local x),913.0,502773.4375,502304.09375
MAPPO continuation (local x),915.0,503147.03125,502684.1145833333
MAPPO continuation (local x),917.0,502131.875,503117.53125
MAPPO continuation (local x),919.0,504073.6875,503364.8229166667
MAPPO continuation (local x),921.0,503888.90625,504035.9791666667
MAPPO continuation (local x),923.0,504145.34375,504693.5416666667
MAPPO continuation (local x),925.0,506046.375,505411.3333333333
MAPPO continuation (local x),927.0,506042.28125,506309.6770833333
MAPPO continuation (local x),929.0,506840.375,506758.9270833333
MAPPO continuation (local x),931.0,507394.125,506823.59375
MAPPO continuation (local x),933.0,506236.28125,506798.0104166667
MAPPO continuation (local x),935.0,506763.625,505638.1458333333
MAPPO continuation (local x),937.0,503914.53125,504926.2291666667
MAPPO continuation (local x),939.0,504100.53125,502803.5520833333
MAPPO continuation (local x),941.0,500395.59375,501947.1770833333
MAPPO continuation (local x),943.0,501345.40625,500280.0208333333
MAPPO continuation (local x),945.0,499099.0625,499601.8854166667
MAPPO continuation (local x),947.0,498361.1875,498302.9479166667
MAPPO continuation (local x),949.0,497448.59375,498276.3854166667
MAPPO continuation (local x),951.0,499019.375,497951.40625
MAPPO continuation (local x),953.0,497386.25,498853.0104166667
