series,environment_steps,learning_episode,raw_value,three_point_smoothed_value
Q2,22553600,881.0,484974.90625,485823.6875
Q2,22604800,883.0,486705.75,487333.34375
Q2,22656000,885.0,490319.375,487836.0104166667
Q2,22707200,887.0,486482.90625,488173.09375
Q2,22758400,889.0,487717.0,488476.2291666667
Q2,22809600,891.0,491228.78125,489792.8958333333
Q2,22860800,893.0,490432.90625,490282.6875
Q2,22912000,895.0,489186.375,489788.09375
Q2,22963200,897.0,489745.0,486151.3541666667
Q2,23014400,899.0,479522.6875,485441.8229166667
Q2,23065600,901.0,487057.78125,482000.3020833333
Q2,23116800,903.0,479420.4375,484452.46875
Q2,23168000,905.0,486879.1875,487264.3229166667
Q2,23219200,907.0,495493.34375,492368.1354166667
Q2,23270400,909.0,494731.875,492997.9270833333
Q2,23321600,911.0,488768.5625,490327.9270833333
Q2,23372800,913.0,487483.34375,489840.4791666667
Q2,23424000,915.0,493269.53125,491484.0
Q2,23475200,917.0,493699.125,490799.71875
Q2,23526400,919.0,485430.5,490181.4791666667
Q2,23577600,921.0,491414.8125,487947.5208333333
Q2,23628800,923.0,486997.25,486705.9479166667
Q2,23680000,925.0,481705.78125,487361.34375
Q2,23731200,927.0,493381.0,485931.21875
Q2,23782400,929.0,482706.875,486917.2291666667
Q2,23833600,931.0,484663.8125,485731.0
Q2,23884800,933.0,489822.3125,487920.25
Q2,23936000,935.0,489274.625,489030.8020833333
Q2,23987200,937.0,487995.46875,488684.5104166667
Q2,24038400,939.0,488783.4375,486702.0833333333
Q2,24089600,941.0,483327.34375,487439.65625
Q2,24140800,943.0,490208.1875,484465.0625
Q2,24192000,945.0,479859.65625,481437.90625
Q2,24243200,947.0,474245.875,477639.6145833333
Q2,24294400,949.0,478813.3125,478351.9583333333
Q2,24345600,951.0,481996.6875,484051.0416666667
Q2,24396800,953.0,491343.125,488510.1875
Q2,24448000,955.0,492190.75,489070.4791666667
Q2,24499200,957.0,483677.5625,487457.9479166667
Q2,24550400,959.0,486505.53125,488175.75
Q2,24601600,961.0,494344.15625,486446.0520833333
Q2,24652800,963.0,478488.46875,486620.375
Q2,24704000,965.0,487028.5,485786.1458333333
Q2,24755200,967.0,491841.46875,490525.5833333333
Q2,24806400,969.0,492706.78125,492197.2708333333
Q2,24857600,971.0,492043.5625,489322.2395833333
Q2,24908800,973.0,483216.375,485963.5833333333
Q2,24960000,975.0,482630.8125,484548.8333333333
Q2,25011200,977.0,487799.3125,486354.75
Q2,25062400,979.0,488634.125,492721.4270833333
Q2,25113600,981.0,501730.84375,494620.21875
Q2,25164800,983.0,493495.6875,499511.8125
Q2,25216000,985.0,503308.90625,497336.15625
Q2,25267200,987.0,495203.875,500563.34375
Q2,25318400,989.0,503177.25,500277.1979166667
Q2,25369600,991.0,502450.46875,504554.1666666667
Q2,25420800,993.0,508034.78125,500625.1354166667
Q2,25472000,995.0,491390.15625,498049.46875
Q2,25523200,997.0,494723.46875,493173.9791666667
Q2,25574400,999.0,493408.3125,496779.5833333333
Q2,25625600,1001.0,502206.96875,497762.3020833333
Q2,25676800,1003.0,497671.625,500651.75
Q2,25728000,1005.0,502076.65625,499397.2083333333
Q2,25779200,1007.0,498443.34375,498715.40625
Q2,25830400,1009.0,495626.21875,497024.8541666667
Q2,25881600,1011.0,497005.0,497635.6979166667
Q2,25932800,1013.0,500275.875,499539.4583333333
Q2,25984000,1015.0,501337.5,503698.625
Q2,26035200,1017.0,509482.5,504098.59375
Q2,26086400,1019.0,501475.78125,503379.5729166667
Q2,26137600,1021.0,499180.4375,498509.0625
Q2,26188800,1023.0,494870.96875,499505.9166666667
Q2,26240000,1025.0,504466.34375,501970.5104166667
Q2,26291200,1027.0,506574.21875,504244.2916666667
Q2,26342400,1029.0,501692.3125,498653.4791666667
Q2,26393600,1031.0,487693.90625,495525.125
Q2,26444800,1033.0,497189.15625,493699.53125
Q2,26496000,1035.0,496215.53125,494628.3958333333
Q2,26547200,1037.0,490480.5,497588.3229166667
Q2,26598400,1039.0,506068.9375,500772.75
Q2,26649600,1041.0,505768.8125,505344.34375
Q2,26700800,1043.0,504195.28125,504341.1041666667
Q2,26752000,1045.0,503059.21875,502253.65625
Q2,26803200,1047.0,499506.46875,501425.6458333333
Q2,26854400,1049.0,501711.25,499110.34375
Q2,26905600,1051.0,496113.3125,499661.7395833333
Q2,26956800,1053.0,501160.65625,498052.1770833333
Q2,27008000,1055.0,496882.5625,496688.3541666667
Q2,27059200,1057.0,492021.84375,495678.9583333333
Q2,27110400,1059.0,498132.46875,497027.4791666667
Q2,27161600,1061.0,500928.125,501051.71875
Q2,27212800,1063.0,504094.5625,501266.9583333333
Q2,27264000,1065.0,498778.1875,499397.7916666667
Q2,27315200,1067.0,495320.625,500800.4166666667
Q2,27366400,1069.0,508302.4375,500104.6458333333
Q2,27417600,1071.0,496690.875,501361.90625
Q2,27468800,1073.0,499092.40625,500472.4375
Q2,27520000,1075.0,505634.03125,502440.0625
Q2,27571200,1077.0,502593.75,503018.40625
Q2,27622400,1079.0,500827.4375,502548.53125
Q2,27673600,1081.0,504224.40625,501622.71875
Q2,27724800,1083.0,499816.3125,499346.1666666667
Q2,27776000,1085.0,493997.78125,499598.7291666667
Q2,27827200,1087.0,504982.09375,500002.59375
Q2,27878400,1089.0,501027.90625,502977.0208333333
Q2,27929600,1091.0,502921.0625,503411.34375
Q2,27980800,1093.0,506285.0625,504042.75
Q2,28032000,1095.0,502922.125,500203.6979166667
Q2,28083200,1097.0,491403.90625,499379.6041666667
Q2,28134400,1099.0,503812.78125,498736.3229166667
Q2,28185600,1101.0,500992.28125,503714.78125
Q2,28236800,1103.0,506339.28125,503889.8958333333
