series,source_kind,learning_episode,mean,std
"MAPPO (fixed 60, 3 seeds)",historical,599.0,490568.66840277775,3684.004916084611
"MAPPO (fixed 60, 3 seeds)",historical,601.0,490570.1302083333,4715.228102602776
"MAPPO (fixed 60, 3 seeds)",historical,603.0,490454.7760416667,4949.651578644444
"MAPPO (fixed 60, 3 seeds)",historical,605.0,491095.7838541667,4222.0130570014135
"MAPPO (fixed 60, 3 seeds)",historical,607.0,491255.05381944444,3527.601570368519
"MAPPO (fixed 60, 3 seeds)",historical,609.0,492143.45399305556,2874.823951195578
"MAPPO (fixed 60, 3 seeds)",historical,611.0,492942.09201388893,3677.840507835015
"MAPPO (fixed 60, 3 seeds)",historical,613.0,493672.7118055555,3809.7559980831215
"MAPPO (fixed 60, 3 seeds)",historical,615.0,494147.2690972222,4475.7684886824645
"MAPPO (fixed 60, 3 seeds)",historical,617.0,493700.86545138893,4963.8097480518045
"MAPPO (fixed 60, 3 seeds)",historical,619.0,493621.02690972225,4681.778975438854
"MAPPO (fixed 60, 3 seeds)",historical,621.0,493565.6223958333,3755.219877082566
"MAPPO (fixed 60, 3 seeds)",historical,623.0,493849.74045138893,3804.5192011823638
"MAPPO (fixed 60, 3 seeds)",historical,625.0,494122.515625,3860.6160338431223
"MAPPO (fixed 60, 3 seeds)",historical,627.0,495085.04774305556,2976.6257541468967
