series,environment_steps,environment_steps_million,raw_value,three_point_smoothed_value
MAPPO strict 1+5,15795200,15.7952,420156.71875,419475.6770833333
MAPPO strict 1+5,15846400,15.8464,421109.75,421515.3854166667
MAPPO strict 1+5,15897600,15.8976,423279.6875,423252.03125
MAPPO strict 1+5,15948800,15.9488,425366.65625,422634.5833333333
MAPPO strict 1+5,16000000,16.0,419257.40625,423016.3854166667
MAPPO strict 1+5,16051200,16.0512,424425.09375,423674.0416666667
MAPPO strict 1+5,16102400,16.1024,427339.625,426435.6875
MAPPO strict 1+5,16153600,16.1536,427542.34375,424611.40625
MAPPO strict 1+5,16204800,16.2048,418952.25,424594.625
MAPPO strict 1+5,16256000,16.256,427289.28125,425326.1041666667
MAPPO strict 1+5,16307200,16.3072,429736.78125,428193.2708333333
MAPPO strict 1+5,16358400,16.3584,427553.75,428367.4166666667
MAPPO strict 1+5,16409600,16.4096,427811.71875,427231.28125
MAPPO strict 1+5,16460800,16.4608,426328.375,427723.25
MAPPO strict 1+5,16512000,16.512,429029.65625,426381.28125
MAPPO strict 1+5,16563200,16.5632,423785.8125,425922.7604166667
MAPPO strict 1+5,16614400,16.6144,424952.8125,425730.1666666667
MAPPO strict 1+5,16665600,16.6656,428451.875,425670.84375
MAPPO strict 1+5,16716800,16.7168,423607.84375,428337.1875
MAPPO strict 1+5,16768000,16.768,432951.84375,429672.0
MAPPO strict 1+5,16819200,16.8192,432456.3125,433655.78125
MAPPO strict 1+5,16870400,16.8704,435559.1875,433412.71875
MAPPO strict 1+5,16921600,16.9216,432222.65625,433661.65625
MAPPO strict 1+5,16972800,16.9728,433203.125,432325.1145833333
MAPPO strict 1+5,17024000,17.024,431549.5625,431809.40625
MAPPO strict 1+5,17075200,17.0752,430675.53125,431676.2916666667
MAPPO strict 1+5,17126400,17.1264,432803.78125,430732.0625
MAPPO strict 1+5,17177600,17.1776,428716.875,430903.1354166667
MAPPO strict 1+5,17228800,17.2288,431188.75,432055.0833333333
MAPPO strict 1+5,17280000,17.28,436259.625,433781.4895833333
MAPPO strict 1+5,17331200,17.3312,433896.09375,435318.3125
MAPPO strict 1+5,17382400,17.3824,435799.21875,436126.5416666667
MAPPO strict 1+5,17433600,17.4336,438684.3125,437758.4895833333
MAPPO strict 1+5,17484800,17.4848,438791.9375,438301.2916666667
MAPPO strict 1+5,17536000,17.536,437427.625,438408.3854166667
MAPPO strict 1+5,17587200,17.5872,439005.59375,438757.5416666667
MAPPO strict 1+5,17638400,17.6384,439839.40625,439551.4375
MAPPO strict 1+5,17689600,17.6896,439809.3125,437013.3125
MAPPO strict 1+5,17740800,17.7408,431391.21875,434705.1354166667
MAPPO strict 1+5,17792000,17.792,432914.875,433435.4791666667
MAPPO strict 1+5,17843200,17.8432,436000.34375,433863.3958333333
MAPPO strict 1+5,17894400,17.8944,432674.96875,433625.7395833333
MAPPO strict 1+5,17945600,17.9456,432201.90625,430778.6354166667
MAPPO strict 1+5,17996800,17.9968,427459.03125,428891.9791666667
MAPPO strict 1+5,18048000,18.048,427015.0,426436.6979166667
MAPPO strict 1+5,18099200,18.0992,424836.0625,426727.8229166667
MAPPO strict 1+5,18150400,18.1504,428332.40625,427504.1041666667
MAPPO strict 1+5,18201600,18.2016,429343.84375,430763.2916666667
MAPPO strict 1+5,18252800,18.2528,434613.625,432176.0416666667
MAPPO strict 1+5,18304000,18.304,432570.65625,432235.4479166667
MAPPO strict 1+5,18355200,18.3552,429522.0625,432988.40625
MAPPO strict 1+5,18406400,18.4064,436872.5,433696.1041666667
MAPPO strict 1+5,18457600,18.4576,434693.75,436778.09375
MAPPO strict 1+5,18508800,18.5088,438768.03125,437779.6145833333
MAPPO strict 1+5,18560000,18.56,439877.0625,438544.6458333333
MAPPO strict 1+5,18611200,18.6112,436988.84375,437530.03125
MAPPO strict 1+5,18662400,18.6624,435724.1875,436718.125
MAPPO strict 1+5,18713600,18.7136,437441.34375,437650.875
MAPPO strict 1+5,18764800,18.7648,439787.09375,439521.1770833333
MAPPO strict 1+5,18816000,18.816,441335.09375,440548.9479166667
MAPPO strict 1+5,18867200,18.8672,440524.65625,439189.7395833333
MAPPO strict 1+5,18918400,18.9184,435709.46875,436510.6458333333
MAPPO strict 1+5,18969600,18.9696,433297.8125,434827.3020833333
MAPPO strict 1+5,19020800,19.0208,435474.625,436193.8125
MAPPO strict 1+5,19072000,19.072,439809.0,437781.34375
MAPPO strict 1+5,19123200,19.1232,438060.40625,440170.8333333333
MAPPO strict 1+5,19174400,19.1744,442643.09375,439828.84375
MAPPO strict 1+5,19225600,19.2256,438783.03125,440241.6666666667
MAPPO strict 1+5,19276800,19.2768,439298.875,439770.8333333333
MAPPO strict 1+5,19328000,19.328,441230.59375,440691.1875
MAPPO strict 1+5,19379200,19.3792,441544.09375,440026.25
MAPPO strict 1+5,19430400,19.4304,437304.0625,439062.9791666667
MAPPO strict 1+5,19481600,19.4816,438340.78125,439089.6875
MAPPO strict 1+5,19532800,19.5328,441624.21875,439402.8854166667
MAPPO strict 1+5,19584000,19.584,438243.65625,439661.7395833333
MAPPO strict 1+5,19635200,19.6352,439117.34375,440275.7291666667
MAPPO strict 1+5,19686400,19.6864,443466.1875,442046.28125
MAPPO strict 1+5,19737600,19.7376,443555.3125,442394.4479166667
MAPPO strict 1+5,19788800,19.7888,440161.84375,441226.3020833333
MAPPO strict 1+5,19840000,19.84,439961.75,440359.71875
MAPPO strict 1+5,19891200,19.8912,440955.5625,439219.5833333333
MAPPO strict 1+5,19942400,19.9424,436741.4375,438901.0625
MAPPO strict 1+5,19993600,19.9936,439006.1875,438955.0416666667
MAPPO strict 1+5,20044800,20.0448,441117.5,439159.09375
MAPPO strict 1+5,20096000,20.096,437353.59375,439831.0208333333
MAPPO strict 1+5,20147200,20.1472,441021.96875,437799.9166666667
MAPPO strict 1+5,20198400,20.1984,435024.1875,437581.7291666667
MAPPO strict 1+5,20249600,20.2496,436699.03125,435851.3541666667
MAPPO strict 1+5,20300800,20.3008,435830.84375,437416.5520833333
MAPPO strict 1+5,20352000,20.352,439719.78125,438056.8645833333
MAPPO strict 1+5,20403200,20.4032,438619.96875,440130.0104166667
MAPPO strict 1+5,20454400,20.4544,442050.28125,441726.2083333333
MAPPO strict 1+5,20505600,20.5056,444508.375,443965.0
MAPPO strict 1+5,20556800,20.5568,445336.34375,446785.15625
MAPPO strict 1+5,20608000,20.608,450510.75,446549.5625
MAPPO strict 1+5,20659200,20.6592,443801.59375,446969.4166666667
MAPPO strict 1+5,20710400,20.7104,446595.90625,444989.1979166667
MAPPO strict 1+5,20761600,20.7616,444570.09375,446576.6770833333
MAPPO strict 1+5,20812800,20.8128,448564.03125,447966.0104166667
MAPPO strict 1+5,20864000,20.864,450763.90625,449100.9479166667
MAPPO strict 1+5,20915200,20.9152,447974.90625,448966.4791666667
